Team,W,L,W-L%,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,80,82,0.494,65,4.85,0.695,162,1458,1154,12996,5853,4332,1437,84,125,0.986,35,3,-9,0,4
Athletics,76,86,0.469,58,5.04,0.698,162,1458,1095,12939,5612,4313,1211,88,109,0.984,-26,-2,1,-3,-2
Atlanta Braves,76,86,0.469,70,4.53,0.698,162,1458,1163,12942,5735,4314,1367,54,109,0.991,18,2,-3,3,9
Baltimore Orioles,75,87,0.463,69,4.86,0.684,162,1458,1109,12894,5789,4298,1403,88,121,0.985,-35,-3,2,0,-5
Boston Red Sox,89,73,0.549,55,4.17,0.691,162,1458,1085,13035,5922,4345,1461,116,131,0.98,36,3,-15,0,-3
Chicago Cubs,92,70,0.568,52,4.01,0.719,162,1458,1154,12915,5708,4305,1342,61,117,0.989,54,5,3,4,8
Chicago White Sox,60,102,0.37,62,4.58,0.696,162,1458,1036,12744,5618,4248,1271,99,131,0.982,-37,-3,-10,-1,-5
Cincinnati Reds,83,79,0.512,53,4.2,0.711,162,1458,1116,12915,5631,4305,1239,87,101,0.985,25,2,-2,0,-1
Cleveland Guardians,88,74,0.543,44,4.01,0.698,162,1458,1026,12978,5755,4326,1330,99,121,0.983,33,3,-6,0,-3
Colorado Rockies,43,119,0.265,56,6.3,0.661,162,1458,1151,12666,5797,4222,1465,110,156,0.981,-56,-5,-10,0,-2
Detroit Tigers,87,75,0.537,58,4.27,0.702,162,1458,1037,12927,5767,4309,1379,79,128,0.986,35,3,-4,0,0
Houston Astros,87,75,0.537,60,4.1,0.708,162,1458,1044,12978,5680,4326,1284,70,105,0.988,15,1,-17,0,-1
Kansas City Royals,82,80,0.506,49,3.93,0.708,162,1458,996,12930,5809,4310,1437,62,132,0.989,62,6,15,0,-1
Los Angeles Angels,72,90,0.444,65,5.17,0.689,162,1458,1119,12882,5810,4294,1419,97,159,0.983,-49,-5,-2,0,-2
Los Angeles Dodgers,93,69,0.574,61,4.22,0.704,162,1458,1009,12969,5737,4323,1346,68,102,0.988,25,2,-2,0,1
Miami Marlins,79,83,0.488,56,4.93,0.7,162,1458,994,12990,5798,4330,1383,85,107,0.985,-29,-3,16,0,-6
Milwaukee Brewers,97,65,0.599,55,3.91,0.709,162,1458,1072,12978,5699,4326,1297,76,122,0.987,35,3,3,0,2
Minnesota Twins,70,92,0.432,57,4.77,0.684,162,1458,990,12840,5575,4280,1210,85,98,0.985,-77,-7,-5,-1,1
New York Mets,83,79,0.512,63,4.41,0.688,162,1458,1082,12888,5850,4296,1475,79,119,0.986,-43,-4,9,1,3
New York Yankees,94,68,0.58,52,4.23,0.708,162,1458,1062,12957,5802,4319,1389,94,105,0.984,18,2,16,0,-4
Philadelphia Phillies,96,66,0.593,47,4,0.691,162,1458,1124,12963,5766,4321,1383,62,105,0.989,-21,-2,5,0,0
Pittsburgh Pirates,71,91,0.438,57,3.98,0.707,162,1458,1134,12876,5703,4292,1334,77,118,0.986,39,4,-6,0,-5
San Diego Padres,90,72,0.556,51,3.83,0.717,162,1458,1075,12897,5607,4299,1234,74,117,0.987,8,1,0,0,-1
Seattle Mariners,90,72,0.556,54,4.28,0.703,162,1458,1101,13164,5812,4388,1355,69,118,0.988,1,0,-9,0,-3
San Francisco Giants,81,81,0.5,53,4.22,0.684,162,1458,1158,12903,5919,4301,1523,95,134,0.984,-51,-5,-2,3,0
St. Louis Cardinals,78,84,0.481,44,4.65,0.689,162,1458,1097,12888,5933,4296,1557,80,124,0.987,-44,-4,-3,0,1
Tampa Bay Rays,77,85,0.475,56,4.22,0.705,162,1458,1065,12882,5791,4294,1416,81,147,0.986,8,1,0,0,8
Texas Rangers,81,81,0.5,54,3.73,0.72,162,1458,1095,12987,5744,4329,1364,51,122,0.991,62,6,15,2,0
Toronto Blue Jays,94,68,0.58,58,4.45,0.7,162,1458,940,12942,5672,4314,1272,86,118,0.985,-8,-1,4,4,5
Washington Nationals,66,96,0.407,51,5.55,0.679,162,1458,1175,12810,5768,4270,1404,94,132,0.984,-57,-5,-8,-4,-9
League Average,81,81,0.5,49,4.45,0.698,162,1458,1082,12922,5755,4308,1366,82,121,0.986,-1,0,-1,0,0
