Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,42,29.8,4.85,80,82,0.494,4.49,162,162,162,0,9,0,42,1444,1403,785,721,196,500,20,1288,57,8,31,6183,97,4.27,1.318,8.7,1.2,3.1,8,2.58,1093
Athletics,35,28.6,5.04,76,86,0.469,4.7,162,162,162,0,11,0,35,1437.2,1387,817,750,222,570,26,1323,80,7,29,6232,89,4.66,1.361,8.7,1.4,3.6,8.3,2.32,1120
Atlanta Braves,46,29.4,4.53,76,86,0.469,4.36,162,162,161,1,8,0,34,1438,1348,734,696,197,530,20,1416,70,8,40,6116,96,4.2,1.306,8.4,1.2,3.3,8.9,2.67,1088
Baltimore Orioles,41,30.6,4.86,75,87,0.463,4.6,162,162,161,1,7,0,38,1432.2,1433,788,733,217,523,19,1351,48,8,63,6166,88,4.41,1.365,9,1.4,3.3,8.5,2.58,1098
Boston Red Sox,35,29.4,4.17,89,73,0.549,3.7,162,162,160,2,11,1,45,1448.1,1333,676,596,164,530,17,1361,73,5,53,6150,111,3.98,1.286,8.3,1,3.3,8.5,2.57,1156
Chicago Cubs,33,31,4.01,92,70,0.568,3.79,162,162,162,0,15,0,44,1435,1284,649,605,202,405,9,1265,53,1,29,5904,102,4.16,1.177,8.1,1.3,2.5,7.9,3.12,965
Chicago White Sox,32,27.5,4.58,60,102,0.37,4.27,162,162,162,0,9,0,25,1416,1337,742,672,189,595,29,1286,72,10,48,6124,98,4.47,1.364,8.5,1.2,3.8,8.2,2.16,1148
Cincinnati Reds,28,29.1,4.2,83,79,0.512,3.86,162,162,158,4,9,3,41,1435,1260,681,616,190,494,13,1380,67,2,45,6035,119,4.11,1.222,7.9,1.2,3.1,8.7,2.79,1070
Cleveland Guardians,26,27.1,4.01,88,74,0.543,3.7,162,162,160,2,16,1,47,1442,1291,649,593,169,527,19,1381,54,9,43,6054,114,3.95,1.261,8.1,1.1,3.3,8.6,2.62,1098
Colorado Rockies,31,27.7,6.3,43,119,0.265,5.97,162,162,162,0,3,0,29,1407.1,1673,1021,933,251,554,19,1093,73,7,60,6367,82,5.24,1.582,10.7,1.6,3.5,7,1.97,1135
Detroit Tigers,39,28.8,4.27,87,75,0.537,3.95,162,162,161,1,17,1,40,1436.1,1309,691,630,187,485,14,1375,59,4,50,6034,105,4.05,1.249,8.2,1.2,3,8.6,2.84,1050
Houston Astros,36,29.2,4.1,87,75,0.537,3.86,162,162,159,3,12,0,45,1442,1257,665,619,199,508,7,1504,58,4,38,6041,109,4.02,1.224,7.8,1.2,3.2,9.4,2.96,1073
Kansas City Royals,27,29.8,3.93,82,80,0.506,3.73,162,162,162,0,10,0,47,1436.2,1308,637,595,171,478,17,1271,45,3,54,5997,110,4.01,1.243,8.2,1.1,3,8,2.66,1067
